Rainfall_mm,Soil_Moisture_Percentage,Landslide
116.57,68.04,0
83.76,73.2,1
63.63,34.03,0
135.95,93.15,1
16.68,53.5,0
73.89,50.65,0
1.7,61.51,0
70.3,23.76,0
8.45,33.3,0
17.82,79.04,0
17.63,26.62,0
97.38,68.25,0
111.91,39.63,0
87.51,51.14,0
144.33,43.1,0
56.23,48.45,0
42.86,77.52,0
130.29,43.77,0
33.54,65.31,0
144.48,58.08,0
1.82,73.09,0
145.48,94.95,1
6.47,78.61,0
133.67,37.2,0
79.16,22.49,0
148.94,40.98,0
11.07,67.61,0
83.08,24.11,0
145.4,59.71,0
78.46,67.75,0
94.41,46.74,0
104.36,81.67,1
68.18,28.53,0
94.13,26.01,0
87.65,78.26,1
135.17,59.64,0
6.82,75.07,0
42.14,54.79,0
142.56,39.71,0
133.54,85.53,1
68.35,83.95,0
93.02,75.58,1
41.61,41.77,0
28.22,67.22,0
69.55,48.88,0
53.0,27.33,0
87.55,93.39,1
11.66,30.95,0
146.16,96.02,1
147.93,55.68,0
